A,B,x,y,C,z,C_canonical,z_canonical,gcd,a,b,c,m,alpha,beta,gamma,macro_family,sub_family,regime,geometry,proof_status,certificate
78732,78732,7,7,334731302496,3,334731302496,3,78732,1,1,4251528,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=78732,k=7) : 2·78732^7=334731302496^3"
80000,80000,5,5,1600000,4,1600000,4,80000,1,1,20,4,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=80000,k=5) : 2·80000^5=1600000^4"
80000,80000,9,9,128000000000,4,128000000000,4,80000,1,1,1600000,4,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=80000,k=9) : 2·80000^9=128000000000^4"
85750,85750,5,5,210087500,3,210087500,3,85750,1,1,2450,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=85750,k=5) : 2·85750^5=210087500^3"
85750,85750,8,8,18015003125000,3,18015003125000,3,85750,1,1,210087500,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=85750,k=8) : 2·85750^8=18015003125000^3"
87808,87808,4,4,4917248,3,4917248,3,87808,1,1,56,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=87808,k=4) : 2·87808^4=4917248^3"
87808,87808,7,7,431773712384,3,431773712384,3,87808,1,1,4917248,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=87808,k=7) : 2·87808^7=431773712384^3"
93312,93312,5,5,241864704,3,241864704,3,93312,1,1,2592,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=93312,k=5) : 2·93312^5=241864704^3"
93312,93312,5,5,15552,6,15552,6,15552,6,6,1,5,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=93312,k=5) : 2·93312^5=15552^6"
93312,93312,8,8,22568879259648,3,22568879259648,3,93312,1,1,241864704,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=93312,k=8) : 2·93312^8=22568879259648^3"
97556,97556,4,4,5658248,3,5658248,3,97556,1,1,58,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=97556,k=4) : 2·97556^4=5658248^3"
97556,97556,7,7,551996041888,3,551996041888,3,97556,1,1,5658248,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=97556,k=7) : 2·97556^7=551996041888^3"
101250,101250,3,3,6750,4,6750,4,6750,15,15,1,3,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=101250,k=3) : 2·101250^3=6750^4"
101250,101250,7,7,683437500,4,683437500,4,101250,1,1,6750,4,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=101250,k=7) : 2·101250^7=683437500^4"
101306,101306,5,5,277375828,3,277375828,3,101306,1,1,2738,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=101306,k=5) : 2·101306^5=277375828^3"
